"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"264",22,"2009","Asia","China","Dalian","Dalian",121.614682,38.914003,4552
"265",15,"2009","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,7007
"266",13,"2009","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,7309
"267",19,"2009","Asia","China","Xiamen","Xiamen",118.089425,24.479834,4680
"268",16,"2009","North_America","United States","Los Angeles","Los Angeles",-118.2436849,34.0522342,6748
"269",17,"2009","Asia","Malaysia","Tanjung Pelepas","Tanjung Pelepas",103.551035,1.362374,6000
"270",18,"2009","North_America","United States","Long Beach","Long Beach",-118.1937395,33.7700504,5067
"271",23,"2009","Asia","Thailand","Laem Chabang","Laem Chabang",100.9158073,13.1040552,4538
"272",28,"2009","Asia","Vietnam","Ho Chi Minh City (Saigon)","Saigon",106.6296638,10.8230989,3563
"273",20,"2009","Europe","Germany","Bremen/Bremerhaven","Bremen",8.5809424,53.5395845,4578
"274",21,"2009","North_America","United States","New York and New Jersey","New York",-74.0059413,40.7127837,4561
"275",40,"2009","Asia","China","Yingkou","Yingkou",122.108231,40.266062,2537
"276",26,"2009","Asia","Indonesia","Tanjung Priok (Jakarta)","Jakarta",106.8714848,-6.1320555,3800
"277",35,"2009","Asia","China","Lianyungang","Lianyungang",119.221611,34.596653,3021
"278",25,"2009","Asia","Japan","Tokyo","Tokyo",139.6917064,35.6894875,3810
"279",24,"2009","Asia","India","Mumbai","Mumbai",72.8776559,19.0759837,4061
"280",34,"2009","Europe","Spain","Algeciras","Algeciras",-5.456233,36.1407591,3042
"281",27,"2009","Europe","Spain","Valencia","Valencia",-0.3762881,39.46991,3653
"282",38,"2009","Asia","United Arab Emirates","Khor Fakkan","Khor Fakkan",56.3432629,25.3365669,2750
"283",33,"2009","Asia","Saudi Arabia","Jeddah","Jeddah",39.2375507,21.2854067,3091
"284",30,"2009","Asia","Sri Lanka","Colombo","Colombo",79.861243,6.9270786,3464
"285",44,"2009","South_America","Brazil","Santos","Santos",-46.3288865,-23.9678823,2252
"286",32,"2009","Europe","United Kingdom","Felixstowe","Felixstowe",1.351255,51.961726,3100
"287",37,"2009","Asia","Philippines","Manila","Manila",120.9842195,14.5995124,2815
