IDELST;NOM_AGENCE;NUM_AGENCE;ADRESSE1_AGENCE;ADRESSE2_AGENCE;CP_COMMUNE_AGENCE;NIVEAU;CP;ville;Long;Lat;NCOMMUNE;IRIS_code;idexel
F0F6F0F0F2F2F54040404040404040;PERONNE;322733754;;15 PL DU CDT LOUIS DAUDRE;80200 PERONNE;6;80200;PERONNE;2.934822;49.929359;80;806200101;225
F0F6F0F0F2F2F64040404040404040;COMBLES;322857488;;10 RUE DU 73E RI;80360 COMBLES;6;80360;COMBLES;2.86323;50.00784;80;802040000;226
F0F6F0F0F2F2F74040404040404040;CONTY;322416240;;22 RUE DU GENERAL LECLERC;80160 CONTY;6;80160;CONTY;2.153971;49.741409;80;802110000;227
F0F6F0F0F2F2F84040404040404040;CORBIE;322963711;;5 RUE CHARLES DE GAULLE;80800 CORBIE;6;80800;CORBIE;2.51061;49.90872;80;802120000;228
F0F6F0F0F2F2F94040404040404040;HAM;323814822;;45 RUE DU GENERAL FOY;80400 HAM;6;80400;HAM;3.07279;49.74581;80;804100101;229
F0F6F0F0F2F3F04040404040404040;MONTDIDIER;322983329;;1 PLACE DU GENERAL DE GAULLE;80500 MONTDIDIER;6;80500;MONTDIDIER;2.56751;49.64672;80;805610000;230
F0F6F0F0F2F3F14040404040404040;MOREUIL;322353799;;5 PLACE NORBERT MALTERRE;80110 MOREUIL;6;80110;MOREUIL;2.48348;49.77171;80;805700000;231
F0F6F0F0F2F3F24040404040404040;NESLE;322885155;;4 RUE DE LA MONNAIE;80190 NESLE;6;80190;NESLE;2.909066;49.757519;80;805850000;232
F0F6F0F0F2F3F34040404040404040;ROISEL;322864322;;13 RUE DU CATELET;80240 ROISEL;6;80240;ROISEL;3.10127;49.94613;80;806770000;233
F0F6F0F0F2F3F44040404040404040;ROSIERES EN SANTERRE;322884539;;17 RUE JEAN JAURES;80170 ROSIERES EN SANTERRE;6;80170;ROSIERES EN SANTERRE;2.70352;49.81427;80;806800000;234
F0F6F0F0F2F3F54040404040404040;ROYE;322877111;;8 B BD DU GENERAL LECLERC;80700 ROYE;6;80700;ROYE;2.78983;49.69922;80;806850000;235
F0F6F0F0F2F3F64040404040404040;VILLERS BOCAGE;322935019;;PLACE DU 11 NOVEMBRE;80260 VILLERS BOCAGE;6;80260;VILLERS BOCAGE;2.318645;49.99921;80;807980000;236
F0F6F0F0F2F3F74040404040404040;VILLERS BRETONNEUX;322963477;;8 B RUE DE MELBOURNE;80800 VILLERS BRETONNEUX;6;80800;VILLERS BRETONNEUX;2.51756;49.867554;80;807990000;237
F0F6F0F0F2F3F84040404040404040;ABBEVILLE PORTE DU BOIS;322201640;;1 CHAUSSEE DU BOIS;80100 ABBEVILLE;6;80100;ABBEVILLE;1.83571;50.10764;80;800010101;238
F0F6F0F0F2F3F94040404040404040;ABBEVILLE SAINT VULFRAN;322254666;;15 RUE DU PONT AUX BROUETTES;80100 ABBEVILLE;6;80100;ABBEVILLE;1.8321;50.10535;80;800010102;239
F0F6F0F0F2F4F04040404040404040;AIRAINES;322296312;;2 PLACE DU COMMANDANT SEYMOUR;80270 AIRAINES;6;80270;AIRAINES;1.94458;49.96438;80;800130000;240
F0F6F0F0F2F4F14040404040404040;LONGPRE LES CORPS SAINTS;322315877;;RUE DE LA LIBERATION;80510 LONGPRE LES CORPS SAINTS;6;80510;LONGPRE LES CORPS SAINTS;1.988348;50.009988;80;804880000;241
F0F6F0F0F2F4F34040404040404040;DOULLENS;322777900;;55 RUE DU BOURG;80600 DOULLENS;6;80600;DOULLENS;2.34195;50.15573;80;802530101;243
F0F6F0F0F2F4F44040404040404040;BERNAVILLE;322323149;;39 ROUTE NATIONALE;80370 BERNAVILLE;6;80370;BERNAVILLE;2.16876;50.13309;80;800860000;244
F0F6F0F0F2F4F54040404040404040;CRECY EN PONTHIEU;322237122;;3 RUE DU GENERAL DE GAULLE;80150 CRECY EN PONTHIEU;6;80150;CRECY EN PONTHIEU;1.88545;50.25215;80;802220000;245
F0F6F0F0F2F4F64040404040404040;DOMART EN PONTHIEU;322548144;;9 RUE DE LA PREE;80620 DOMART EN PONTHIEU;6;80620;DOMART EN PONTHIEU;2.1218;50.07559;80;802410000;246
F0F6F0F0F2F4F74040404040404040;FLIXECOURT;322526999;;27 RUE ROGER GODARD;80420 FLIXECOURT;6;80420;FLIXECOURT;2.08063;50.01529;80;803180000;247
F0F6F0F0F2F4F84040404040404040;FRIVILLE ESCARBOTIN;322206755;;40 RUE MARIUS BRIET;80130 FRIVILLE ESCARBOTIN;6;80130;FRIVILLE ESCARBOTIN;1.54144;50.09409;80;803680000;248
